Key,Chapter,JP_School,EN_School,KO_School,TC_School,JP_Class,EN_Class,KO_Class,TC_Class,JP_Name,EN_Name,KO_Name,TC_Name,JP_Description,EN_Description,KO_Description,TC_Description,JP_Age,EN_Age,KO_Age,TC_Age
64,5,桐章学園高等部,Paulownia Academy High School,토쇼학원고등부,桐章學園高等部,2年1組,Class 2-1,2학년 1반,2年1班,大上 さやか,Sayaka Ooue,오오우에 사야카,大上 さやか,一緒に来た七星を捜すも黒化して衰弱死。,Succumbed to darkening and faded while searching for companion、 Naho.,함께 온 나호를 찾아다니다 흑화하여 쇠약사.,在尋找同行的七星時黑化導致衰竭死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
65,5,桐章学園高等部,Paulownia Academy High School,토쇼학원고등부,桐章學園高等部,2年1組,Class 2-1,2학년 1반,2年1班,冴之木 七星,Naho Saenoki,사에노키 나호,冴之木 七星,黒化して意識を失った後に衰弱死。精神は分離した。,Succumbed to darkening、 lost consciousness and faded away. Spirit lived on.,흑화하여 의식을 잃은 후 쇠약사. 정신은 분리되었다.,黑化後失去意識並衰竭死亡。精神與肉體分離。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
66,5,聖マリアンヌ大学付属高等部,St. Maryanne University High School,성마리안느 대학부속고등부,聖瑪麗安娜大學附屬高等部,2年1組,Class 2-1,2학년 1반,2年1班,城崎 火也,Kaya Kizaki,키자키 카야,城崎 火也,最期まで笑顔を絶やさず友人を励ましていた。,Comforted friend with smiles and optimism until dying breath. Eventually withered away.,끝까지 미소를 잃지 않고 친구를 감싸주었다.,直到最後一刻都面帶笑容鼓勵著朋友。最終衰竭而死。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
67,3,とおのべ小学校,Distant Futures Elementary School,토오노베초등학교,遠邊小學校,4年3組,Class 4-3,4학년 3반,4年3班,幸村 叶,Kanau Sachimura,사치무라 카나우,幸村 叶,脱水症状による衰弱死。,Withered away from dehydration.,탈수 증세로 인한 쇠약사.,因脫水症狀導致衰竭死亡。,"享年９歳
",Age : 9,"향년 9세
",享年9歲
68,4,とおのべ小学校,Distant Futures Elementary School,토오노베초등학교,遠邊小學校,4年3組,Class 4-3,4학년 3반,4年3班,斎藤 神月,Kanzuki Saito,사이토 칸즈키,斎藤 神月,水練場で足を滑らせ、頭部損傷により溺死。,"Lost footing near pool; hit head、 fell in and
drowned.",수영장에서 미끄러져 두부 손상으로 인해 익사.,在游泳池滑倒，頭部受傷後溺水死亡。,"享年９歳
",Age : 9,"향년 9세
",享年9歲
69,5,白楼第三中学校,Hakuro #3 Junior High School,하쿠로우 제3중학교,白樓第三中學校,Ⅰ-4,Class Ⅰ-4,Ⅰ-4,Ⅰ-4,水野 拓史,Takuji Mizuno,미즈노 타쿠시,水野 拓史,想い人と共に、眠るように逝く。,Died in sleep alongside beloved.,사랑하는 사람과 함께 잠자듯 명을 달리한다.,與心上人一同如沉睡般離世。,"享年１３歳
",Age : 13,"향년 13세
",享年13歲
70,4,私立柴神高校,"Shibagami Private Senior
High School",사립시바가미고교,私立柴神高校,1年A組,Class 1-A,1학년 A반,1年A班,六原 万里,Mari Rokuhara,로쿠하라 마리,六原 万里,殺されるより、自ら命を絶つことを選択。,Attacked from behind while searching for friends.,죽임을 당하느니 자기 목숨을 끊는 길을 선택.,與其被殺，選擇自行了斷生命。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
71,4,私立柴神高校,"Shibagami Private Senior
High School",사립시바가미고교,私立柴神高校,1年A組,Class 1-A,1학년 A반,1年A班,上乗 美月,Mitsuki Kamijou,카미죠 미츠키,上乗 美月,背後から襲われ水中に投げ込まれる。,Accosted from behind and thrown into pool.,배후로부터 습격을 당해 물에 빠진다.,從背後遭襲擊並被丟入水中。,"享年１６歳
",Age : 16,"항년 16세
",享年16歲
72,5,私立柴神高校,"Shibagami Private Senior
High School",사립시바가미고교,私立柴神高校,1年A組,Class 1-A,1학년 A반,1年A班,矢野 かげみ,Kagemi Yano,야노 카게미,矢野 かげみ,首を絞められ窒息死。,Strangled to death.,목을 졸려 질식사.,被勒住脖子導致窒息死亡。,"享年１６歳
",Age : 16 ,"항년 16세
",享年16歲
73,5,尼咲市立西高等学校,Amazaki West Senior Private School,아마자키시립서고등학교,尼咲市立西高等學校,2年2組,Class 2-2,2학년 2반,2年2班,流山 誠,Makoto Nagareyama,나가레야마 마코토,流山 誠,寂しくて死亡。,Died of loneliness.,쓸쓸해서 사망.,因孤獨而死。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
74,5,聖清女子学院,Seisei Academy for Girls,쇼세이여자학원,聖清女子學院,臨時教員,Class II-3,임시교원,臨時教師,ﾀｶﾔﾅｰｷﾞ博士,Kazunari Takayanagi,타카야나기 박사,ﾀｶﾔﾅｰｷﾞ博士,白衣と眼鏡を輝かせ、教鞭を振るい続けた人気教師。,"A popular fop of a teacher、 with white suit and spectacles complemented by a gentleman's
cane. Abdomen hollowed out with knife; died
of shock.",백의를 걸치고 안경을 빛내며 교편을 휘두르던 인기 교사.,身穿白衣、眼鏡閃耀，持續揮舞教鞭的人氣教師。腹部遭刀挖空，休克而死。,"享年２５歳
",Age : 25,"향년 25세
",享年25歲
75,5,聖清女子学院,Seisei Academy for Girls,쇼세이여자학원,聖清女子學院,新聞部顧問,Class II-3,신문부 고문,新聞部顧問,藤本 徹,Tohru Fujimoto,후지모토 토오루,藤本 徹,"羽ばたく学院女子達のプロモーションを、
大きな愛で支え続けた。",A staunch supporter of the Academy's students. Always encouraged them to spread their wings. Died of beheading.,학원 여학생들의 성장을 큰 사랑으로 받쳐 주었다.,以滿滿的愛支持著展翅高飛的學院女孩們。遭斬首而死。,"享年２７歳
",Age : 27,"향년 27세
",享年27歲
76,5,聖清女子学院,Seisei Academy for Girls,쇼세이여자학원,聖清女子學院,音楽教師,Class II-3,음악교사,音樂教師,濱田 智之,Tomoyuki Hamada,하마다 토모유키,濱田 智之,学院の音楽授業を担当。生徒の告白が後を絶たなかった。,Head of the music department at the Academy. Constantly fantasized about by students. Legs amputated; died of blood loss.,학원의 음악 수업을 담당. 학생들의 고백이 끊이지 않았다.,負責學院的音樂課程。學生的告白從未間斷。雙腿被截肢，失血而死。,"享年２３歳
",Age : 23,"향년 23세
",享年23歲
77,5,聖清女子学院,Seisei Academy for Girls,쇼세이여자학원,聖清女子學院,新聞部副顧問,Class II-3,신문부 부고문,新聞部副顧問,森田 恭司,Yasuji Morita,모리타 야스시,森田 恭司,学院きっての敏腕ライター。常に世界中に飛び回っていた。,The Academy's most talented writer. Frequently traveled to other countries. Wandered until legs gave out; died of exhaustion.,학원에서 제일가는 민완 작가. 항상 전 세계를 돌아다녔다.,學院首屈一指的幹練記者。經常奔波於世界各地。徘徊至雙腿無力，衰竭而死。,"享年２０歳
",Age : 20,"향년 20세
",享年20歲
78,5,聖マリアンヌ大学付属高等部,St. Maryanne University High School,성마리안느 대학부속고등부,聖瑪麗安娜大學附屬高等部,教頭,Class 2-1,교감,教務主任,野村Ｐ 泰彦,Yasuhiko Nomura,노무라P 야스히코,野村Ｐ 泰彦,ユーザーに感謝と言い残し泣きながら死亡。,Adored both school and students. Kept countless mementos of his time as teacher. Died of beheading.,유저에게 감사의 말을 남기고는 울면서 사망.,留下對使用者的感謝之詞，邊哭邊死去。,"享年２５歳
",Age : 25,"향년 25세
",享年25歲
79,5,聖マリアンヌ大学付属高等部,St. Maryanne University High School,성마리안느 대학부속고등부,聖瑪麗安娜大學附屬高等部,茶道部顧問,Class 2-1,다도부 고문,茶道部顧問,西村Ｄ 卓也,Takuya Nishimura,니시무라D 타쿠야,西村Ｄ 卓也,和の心を愛した茶人、凛とした佇まいに人気があった。,A practitioner of flower ceremony、 and a lover of harmony and peace. Renowned for quiet sophistication. Died of stab wounds to abdomen.,조화의 마음을 사랑한 다인、의연한 분위기로 인기를 끌었다.,熱愛和之心的茶人，凜然姿態深受歡迎。腹部遭刺傷而死。,"享年２５歳
",Age : 25,"향년 25세
",享年25歲
80,5,美里市立 彦糸高等学校,Misato Municipal Brotherhood High,미사토시립 히코이토고등학교,美里市立彥糸高等學校,2年4組,Class 2-4,2학년 4반,2年4班,藤井 剣,Ken Fujii,후지이 켄,藤井 剣,児童霊に鋏で刺され、失血死。,Stabbed with scissors by child spirit; bled out.,아동 유령에게 가위로 찔려 실혈사.,被兒童靈用剪刀刺中，失血死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
81,5,聖マリアンヌ大学付属高等部,St. Maryanne University High School,성마리안느 대학부속고등부,聖瑪麗安娜大學附屬高等部,2年1組,Class 2-1,2학년 1반,2年1班,吾妻 つたや,Tsutaya Azuma,아즈마 츠타야,吾妻 つたや,死体の溶けたプールで溺死。,Drowned in pool of decomposing corpses.,사체가 녹아든 풀에 빠져 익사.,在溶有屍體的池中溺水死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
82,5,私立柴神高校,"Shibagami Private Senior
High School",사립시바가미고교,私立柴神高校,2年1組,Class 2-1,2학년 1반,2年1班,熊川 亮人,Ryoto Kumakawa,쿠마카와 료토,熊川 亮人,友人を庇い、鈍器で強打され死亡。,Took hit from blunt instrument for friend; died of injuries.,친구를 감싸다 둔기로 강한 타격을 받아 사망.,為了保護朋友而遭鈍器重擊死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
83,5,聖マリアンヌ大学付属高等部,St. Maryanne University High School,성마리안느 대학부속고등부,聖瑪麗安娜大學附屬高等部,2年1組,Class 2-1,2학년 1반,2年1班,岡田 真里名,Marina Okada,오카다 마리나,岡田 真里名,最期まで笑顔を絶やさず友人を励ましていた。,Comforted friend with smiles and optimism until dying breath. Eventually withered away.,끝까지 미소를 잃지 않고 친구를 감싸주었다.,直到最後一刻都面帶笑容鼓勵著朋友。最終衰竭而死。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
84,5,私立柴神高校,"Shibagami Private Senior
High School",사립시바가미고교,私立柴神高校,2年1組,Class 2-1,2학년 1반,2年1班,榊原 有紀,Yuki Sakakibara,사카키바라 유키,榊原 有紀,最期まで友人を信じ続けた。,Believed in power of friendship until dying breath. Eventually dehydrated.,친구를 끝까지 믿었다.,直到最後一刻都持續相信朋友。最終脫水而死。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
85,5,私立柴神高校,"Shibagami Private Senior
High School",사립시바가미고교,私立柴神高校,2年1組,Class 2-1,2학년 1반,2年1班,大神 伊鶴,Izuru Ohkami,오오카미 이즈루,大神 伊鶴,脱水症状による衰弱死。,Withered away from dehydration.,탈수 증세로 인한 쇠약사.,因脫水症狀導致衰竭死亡。,"享年１７歳
",Age : 17,"향년 17세
",享年17歲
86,5,白楼第三中学校,Hakuro #3 Junior High School,하쿠로우 제3중학교,白樓第三中學校,Ⅲ-5,Class Ⅲ-5,Ⅲ-5,Ⅲ-5,梨本 琴美,Kotomi Nashimoto,나시모토 코토미,梨本 琴美,蘇生魔法と称して仲間のもろとも手首を切り失血死。,"Slit wrists along with friends under pretense
of performing reincarnation ritual; bled out.",소생마법인 척하고 자신은 물론 친구들의 손목까지 그어 실혈사.,以復活魔法為名，與同伴一同割腕導致失血死亡。,"享年１５歳
",Age : 15,"향년 15세
",享年15歲
